253,147,337,272
254,145,338,270
255,145,339,270
255,145,339,270
255,145,339,270
252,147,336,272
247,153,331,278
243,161,327,286
243,161,327,286
243,165,327,290
246,165,330,290
250,164,334,289
252,157,336,282
252,157,336,282
252,145,336,270
250,132,334,257
249,118,333,243
247,103,331,228
247,101,331,226
247,92,331,217
250,83,334,208
252,76,336,201
254,71,338,196
254,71,338,196
254,71,338,196
255,75,339,200
258,81,342,206
258,87,342,212
258,88,342,213
256,90,340,215
253,88,337,213
252,81,336,206
253,76,337,201
253,75,337,200
252,74,336,199
251,72,335,197
252,69,336,194
254,67,338,192
254,67,338,192
253,66,337,191
250,63,334,188
245,57,329,182
241,51,325,176
240,50,324,175
238,50,322,175
234,54,318,179
229,56,313,181
228,57,312,182
228,57,312,182
233,64,317,189
242,75,326,200
250,82,334,207
259,87,343,212
261,88,345,213
268,94,352,219
273,105,357,230
270,116,354,241
262,125,346,250
260,125,344,250
252,125,336,250
243,118,327,243
236,110,320,235
230,105,314,230
228,103,312,228
226,102,310,227
224,101,308,226
224,100,308,225
224,99,308,224
224,99,308,224
225,97,309,222
226,96,310,221
227,96,311,221
227,96,311,221
227,96,311,221
228,98,312,223
230,103,314,228
230,108,314,233
227,117,311,242
227,118,311,243
223,127,307,252
218,132,302,257
213,133,297,258
205,133,289,258
204,132,288,257
196,133,280,258
188,134,272,259
185,131,269,256
184,125,268,250
184,125,268,250
184,124,268,249
183,125,267,250
184,126,268,251
187,124,271,249
188,124,272,249
189,123,273,248
186,126,270,251
179,131,263,256
171,134,255,259
170,134,254,259
166,135,250,260
164,135,248,260
160,137,244,262
153,140,237,265
153,140,237,265
149,144,233,269
149,145,233,270
149,142,233,267
146,134,230,259
146,133,230,258
142,125,226,250
139,116,223,241
135,107,219,232
130,96,214,221
129,94,213,219
122,82,206,207
116,73,200,198
114,69,198,194
117,67,201,192
118,67,202,192
119,66,203,191
121,68,205,193
124,75,208,200
130,85,214,210
131,85,215,210
135,92,219,217
135,101,219,226
134,111,218,236
135,120,219,245
135,120,219,245
141,126,225,251
149,129,233,254
157,126,241,251
164,121,248,246
167,120,251,245
173,114,257,239
178,106,262,231
179,92,263,217
174,76,258,201
175,74,259,199
169,64,253,189
165,56,249,181
163,49,247,174
160,40,244,165
160,39,244,164
158,32,242,157
157,31,241,156
158,35,242,160
155,40,239,165
154,40,238,165
147,45,231,170
138,56,222,181
131,73,215,198
125,88,209,213
125,90,209,215
117,96,201,221
110,100,194,225
107,100,191,225
108,100,192,225
108,100,192,225
105,91,189,216
100,82,184,207
94,73,178,198
90,68,174,193
89,67,173,192
89,73,173,198
93,84,177,209
102,93,186,218
116,103,200,228
116,102,200,227
130,109,214,234
139,113,223,238
136,114,220,239
139,114,223,239
140,114,224,239
141,111,225,236
142,111,226,236
147,114,231,239
153,119,237,244
153,119,237,244
161,127,245,252
169,139,253,264
177,148,261,273
184,152,268,277
184,152,268,277
188,151,272,276
190,148,274,273
192,147,276,272
193,143,277,268
194,143,278,268
195,141,279,266
199,142,283,267
205,147,289,272
211,153,295,278
212,154,296,279
217,157,301,282
221,157,305,282
223,156,307,281
224,156,308,281
224,156,308,281
222,154,306,279
219,152,303,277
216,150,300,275
212,145,296,270
